date,sent_score
2020-07-04,-0.12357190209719014
2020-07-05,-0.12357190209719014
2020-07-06,-0.12357190209719014
2020-07-07,-0.12357190209719014
2020-07-08,-0.12357190209719014
2020-07-09,-0.4628454070986169
2020-07-10,-0.12357190209719014
2020-07-11,0.16785533937839434
2020-07-12,-0.0713759782508168
2020-07-13,-0.12357190209719014
2020-07-14,0.24179956482742326
2020-07-15,-0.019180054404443456
2020-07-16,-0.1757678259435635
2020-07-17,4.091248948497458
2020-07-18,-0.12357190209719014
2020-07-19,-0.12357190209719014
2020-07-20,-0.12357190209719014
2020-07-21,-0.12357190209719014
2020-07-22,0.013442397999539887
2020-07-23,-0.12357190209719014
2020-07-24,-0.12357190209719014
2020-07-25,-0.12357190209719014
2020-07-26,-0.12357190209719014
2020-07-27,0.26789752675060996
2020-07-28,-0.12357190209719014
2020-07-29,-0.12357190209719014
2020-07-30,10.941963953333959
2020-07-31,-0.12357190209719014
2020-08-01,0.33314243155857665
2020-08-02,-0.12357190209719014
2020-08-03,-0.12357190209719014
2020-08-04,-0.12357190209719014
2020-08-05,-0.12357190209719014
2020-08-06,-0.12357190209719014
2020-08-07,0.0721628123267099
2020-08-08,0.5941220507904433
2020-08-09,-0.05832699728922346
2020-08-10,-0.12357190209719014
2020-08-11,-0.12357190209719014
2020-08-12,-0.12357190209719014
2020-08-13,-0.18881680690515681
2020-08-14,-0.12357190209719014
2020-08-15,-0.12357190209719014
2020-08-16,-0.12357190209719014
2020-08-17,-0.12357190209719014
2020-08-18,-0.12357190209719014
2020-08-19,-0.12357190209719014
2020-08-20,-0.12357190209719014
2020-08-21,-0.12357190209719014
2020-08-22,-0.12357190209719014
2020-08-23,-0.12357190209719014
2020-08-24,-0.12357190209719014
2020-08-25,-0.12357190209719014
2020-08-26,-0.30625763555949687
2020-08-27,-0.12357190209719014
2020-08-28,-0.12357190209719014
2020-08-29,-0.12357190209719014
2020-08-30,-0.12357190209719014
2020-08-31,-0.12357190209719014
2020-09-01,-0.12357190209719014
2020-09-02,-0.12357190209719014
2020-09-03,-2.3418986655680576
2020-09-04,-0.12357190209719014
2020-09-05,-2.0287231224898172
2020-09-06,-0.12357190209719014
2020-09-07,-0.12357190209719014
2020-09-08,-1.3501761124869638
2020-09-09,-0.12357190209719014
2020-09-10,1.6771874706026901
2020-09-11,-0.12357190209719014
2020-09-12,-0.12357190209719014
2020-09-13,-0.12357190209719014
2020-09-14,-0.12357190209719014
2020-09-15,-0.12357190209719014
2020-09-16,-1.050049550370317
2020-09-17,-0.12357190209719014
2020-09-18,-0.12357190209719014
2020-09-19,-0.12357190209719014
2020-09-20,-0.12357190209719014
2020-09-21,-0.12357190209719014
2020-09-22,0.09826077424989657
2020-09-23,-0.12357190209719014
2020-09-24,-0.5215658214257869
2020-09-25,-0.12357190209719014
2020-09-26,-3.8294824951896973
2020-09-27,-0.12357190209719014
2020-09-28,-0.12357190209719014
2020-09-29,-0.12357190209719014
2020-09-30,-0.12357190209719014
2020-10-01,-0.032229035366036794
2020-10-02,-0.12357190209719014
2020-10-03,1.9164187882319013
2020-10-04,-0.2932086545979035
2020-10-05,-0.12357190209719014
2020-10-06,-0.12357190209719014
2020-10-07,-0.12357190209719014
2020-10-08,-0.12357190209719014
2020-10-09,0.45058326021291667
2020-10-10,4.848089844269871
2020-10-11,-0.12357190209719014
2020-10-12,-0.12357190209719014
2020-10-13,-0.12357190209719014
2020-10-14,-0.12357190209719014
2020-10-15,-0.12357190209719014
2020-10-16,-0.032229035366036794
2020-10-17,-0.12357190209719014
2020-10-18,-0.12357190209719014
2020-10-19,-0.12357190209719014
2020-10-20,-0.12357190209719014
2020-10-21,-0.12357190209719014
2020-10-22,-2.3223251941256673
2020-10-23,-0.12357190209719014
2020-10-24,-0.12357190209719014
2020-10-25,-0.12357190209719014
2020-10-26,-0.12357190209719014
2020-10-27,0.39838733636654333
2020-10-28,1.5727956229099436
2020-10-29,0.24179956482742326
2020-10-30,-0.12357190209719014
2020-10-31,-0.12357190209719014
2020-11-01,-0.12357190209719014
2020-11-02,-0.12357190209719014
2020-11-03,-0.12357190209719014
2020-11-04,-0.12357190209719014
2020-11-05,-0.12357190209719014
2020-11-06,-0.12357190209719014
2020-11-07,-0.12357190209719014
2020-11-08,-0.12357190209719014
2020-11-09,-0.12357190209719014
2020-11-10,-0.12357190209719014
2020-11-11,-0.12357190209719014
2020-11-12,-0.9978536265239437
2020-11-13,-0.12357190209719014
2020-11-14,-0.12357190209719014
2020-11-15,-0.12357190209719014
2020-11-16,-0.12357190209719014
2020-11-17,-0.12357190209719014
2020-11-18,-0.12357190209719014
2020-11-19,-0.1061732608150657
2020-11-20,-0.12357190209719014
2020-11-21,-0.12357190209719014
2020-11-22,-0.12357190209719014
2020-11-23,-0.12357190209719014
2020-11-24,-0.12357190209719014
2020-11-25,-0.12357190209719014
2020-11-26,-0.34540457844427686
2020-11-27,-0.12357190209719014
2020-11-28,-0.032229035366036794
2020-11-29,-0.12357190209719014
2020-11-30,-0.12357190209719014
2020-12-01,-0.12357190209719014
2020-12-02,-0.12357190209719014
2020-12-03,-0.11704741161639348
2020-12-04,-0.12357190209719014
2020-12-05,0.1852539806605188
2020-12-06,-0.12357190209719014
2020-12-07,-0.12357190209719014
2020-12-08,-0.12357190209719014
2020-12-09,-0.12357190209719014
2020-12-10,-0.12357190209719014
2020-12-11,-0.16271884498197015
2020-12-12,-0.12357190209719014
2020-12-13,-0.12357190209719014
2020-12-14,-0.12357190209719014
2020-12-15,0.1374077171346766
