date,open,high,low,close,volume,prev_open,prev_high,prev_low,prev_close,prev_volume,volume_obv,volume_vwap,momentum_rsi,trend_adx,trend_macd,trend_macd_signal,trend_macd_diff,volatility_bbm,volatility_bbh,volatility_bbl
2020-01-02,22.991646888820142,22.991646888820142,22.9766441828568,22.984145535838472,1101010.3337493923,22.67659006358998,22.68409141657165,22.67659006358998,22.67659006358998,1038625.3316773294,145916304.68240386,22.4839861923843,60.21302334868331,14.856982596747475,0.26289699135964284,0.23753193367989153,0.025365057679751307,22.401571631027288,23.222684764664432,21.580458497390143
2020-01-03,22.991646888820142,22.999148241801812,22.969142829875132,22.969142829875132,2502590.8798507443,22.991646888820142,22.991646888820142,22.9766441828568,22.984145535838472,1101010.3337493923,143413713.80255312,22.532294938566967,59.93717856048598,15.263311364028095,0.27290351799360835,0.2446062505426349,0.02829726745097344,22.468221868186326,23.245208015277946,21.691235721094706
2020-01-06,23.11916988950854,23.11916988950854,23.1041671835452,23.11166853652687,3388497.66644484,22.991646888820142,22.999148241801812,22.969142829875132,22.969142829875132,2502590.8798507443,146802211.46899796,22.6098572517356,61.730804870297845,15.857396254749364,0.28900294972755347,0.25348559037961865,0.03551735934793482,22.550154577071154,23.229546013060332,21.870763141081976
2020-01-07,23.006649594783482,23.014150947765152,23.006649594783482,23.006649594783482,271506.97035977547,23.11916988950854,23.11916988950854,23.1041671835452,23.11166853652687,3388497.66644484,146530704.49863818,22.603350955949985,59.61297839528224,16.123563308859598,0.2899454043119114,0.2607775531660772,0.0291678511458342,22.609411758846974,23.228296923898675,21.990526593795273
2020-01-08,22.81911577024172,22.82661712322339,22.81161441726005,22.81911577024172,965276.352087257,23.006649594783482,23.014150947765152,23.006649594783482,23.006649594783482,271506.97035977547,145565428.14655092,22.658931006320756,55.923384738167705,15.814465503955244,0.27241961031271344,0.2631059645954045,0.009313645717308972,22.631487068509788,23.247212879654725,22.01576125736485
2020-01-09,22.789110358315035,22.79661171129671,22.774107652351695,22.79661171129671,915856.6885087134,22.81911577024172,22.82661712322339,22.81161441726005,22.81911577024172,965276.352087257,144649571.4580422,22.749855328781862,55.47963587871366,15.421181064327072,0.25378888255918497,0.2612425481881606,-0.0074536656289756476,22.643910253087004,23.262428710832182,22.025391795341825
2020-01-10,22.699094122534994,22.714096828498334,22.699094122534994,22.714096828498334,1341684.4929486073,22.789110358315035,22.79661171129671,22.774107652351695,22.79661171129671,915856.6885087134,143307886.96509358,22.77559024700776,53.79411294856284,14.83644802916823,0.2297175937249598,0.2549375572955205,-0.025219963570560666,22.659251672682068,23.26868502191886,22.049818323445276
2020-01-13,22.729099534461675,22.729099534461675,22.70659547551666,22.72159818148,899495.4875203918,22.699094122534994,22.714096828498334,22.699094122534994,22.714096828498334,1341684.4929486073,144207382.45261398,22.788089616834064,53.93113817989494,14.33300975142706,0.2088388560587937,0.24571781704817514,-0.036878960989381426,22.671631538219902,23.275543624856372,22.067719451583432
2020-01-14,22.39904000326817,22.406541356249843,22.391538650286503,22.391538650286503,1323635.48753941,22.729099534461675,22.729099534461675,22.70659547551666,22.72159818148,899495.4875203918,142883746.96507457,22.766423633161647,47.28641381734701,13.668154608004548,0.16377140547232472,0.22932853473300507,-0.06555712926068036,22.664542541236898,23.278035087006508,22.051049995467288
2020-01-15,22.24151159065309,22.24151159065309,22.211506178726406,22.211506178726406,1287042.3874242248,22.39904000326817,22.406541356249843,22.391538650286503,22.391538650286503,1323635.48753941,141596704.57765034,22.743074898754177,44.095090049166416,13.51323053455352,0.1122342438288797,0.20590967655218,-0.09367543272330031,22.62843219043803,23.259078759436388,21.99778562143967
